section,subsection,diseaseId,name,icd10,moduleFile,quality_status,clinical_priority,source_pack,last_reviewed_at,freshness_sla_days,freshness_due_at,freshness_status,review_owner,clinical_editor_review,senior_board_signoff_status,clinical_table_contract,decision_tree_contract,release_blocker
andrology,sexual,erectile-dysfunction,Эректильная дисфункция,N52,erectileDysfunctionData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,premature-ejaculation,Преждевременная эякуляция,N53,prematureEjaculationData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,priapism,Приапизм,N48.3,priapismData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,psychogenic-ed,Психогенная эректильная дисфункция,F52.2,psychogenicEdData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,psychogenic-premature-ejaculation,Психогенная преждевременная эякуляция,F52.4,psychogenicPrematureEjaculationData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,functional,overactive-bladder,Гиперактивный мочевой пузырь,N32.8,overactiveBladderData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,functional,urge-incontinence,Ургентное недержание мочи,N39.4,urgeIncontinenceData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,functional,urinary-retention,Острая задержка мочи,R33,urinaryRetentionData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,infections,acute-bacterial-prostatitis,Острый бактериальный простатит,N41.0,acuteBacterialProstatitisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,acute-cystitis,Острый цистит,N30.0,acuteCystitisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,device-associated-uti,"ИМП, связанная с катетером/устройством",T83.5,deviceAssociatedUtiData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,fournier-gangrene,Гангрена Фурнье,N49.2,fournierGangreneData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,pyelonephritis,Пиелонефрит,N10,pyelonephritisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,recurrent-uti,Рецидивирующая ИМП,N39.0,recurrentUtiData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,renal-tuberculosis,Туберкулёз почки,A18.1,renalTuberculosisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,urosepsis,Уросепсис,N13.6 + A41.9,urosepsisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
